Running in CPU mode	
Epoch 1.00 / 5, i = 1 / 1780, loss = 4.203314	
Epoch 1.01 / 5, i = 2 / 1780, loss = 4.201394	
Epoch 1.01 / 5, i = 3 / 1780, loss = 4.199424	
Epoch 1.01 / 5, i = 4 / 1780, loss = 4.190083	
Epoch 1.01 / 5, i = 5 / 1780, loss = 4.187817	
Epoch 1.02 / 5, i = 6 / 1780, loss = 4.182775	
Epoch 1.02 / 5, i = 7 / 1780, loss = 4.174990	
Epoch 1.02 / 5, i = 8 / 1780, loss = 4.170191	
Epoch 1.03 / 5, i = 9 / 1780, loss = 4.162843	
Epoch 1.03 / 5, i = 10 / 1780, loss = 4.153764	
Epoch 1.03 / 5, i = 11 / 1780, loss = 4.158680	
Epoch 1.03 / 5, i = 12 / 1780, loss = 4.144874	
Epoch 1.04 / 5, i = 13 / 1780, loss = 4.139250	
Epoch 1.04 / 5, i = 14 / 1780, loss = 4.122930	
Epoch 1.04 / 5, i = 15 / 1780, loss = 4.126791	
Epoch 1.04 / 5, i = 16 / 1780, loss = 4.107262	
Epoch 1.05 / 5, i = 17 / 1780, loss = 4.098965	
Epoch 1.05 / 5, i = 18 / 1780, loss = 4.084966	
Epoch 1.05 / 5, i = 19 / 1780, loss = 4.078008	
Epoch 1.06 / 5, i = 20 / 1780, loss = 4.057350	
Epoch 1.06 / 5, i = 21 / 1780, loss = 4.037781	
Epoch 1.06 / 5, i = 22 / 1780, loss = 4.043193	
Epoch 1.06 / 5, i = 23 / 1780, loss = 4.003506	
Epoch 1.07 / 5, i = 24 / 1780, loss = 3.984647	
Epoch 1.07 / 5, i = 25 / 1780, loss = 3.971821	
Epoch 1.07 / 5, i = 26 / 1780, loss = 3.947500	
Epoch 1.08 / 5, i = 27 / 1780, loss = 3.934356	
Epoch 1.08 / 5, i = 28 / 1780, loss = 3.903593	
Epoch 1.08 / 5, i = 29 / 1780, loss = 3.873543	
Epoch 1.08 / 5, i = 30 / 1780, loss = 3.876706	
Epoch 1.09 / 5, i = 31 / 1780, loss = 3.831081	
Epoch 1.09 / 5, i = 32 / 1780, loss = 3.822475	
Epoch 1.09 / 5, i = 33 / 1780, loss = 3.779129	
Epoch 1.10 / 5, i = 34 / 1780, loss = 3.765424	
